Name,Color,Image,RGB,Undertone
Mini Matte Lipstick  Mehr 1.8 g,"[[200.0, 106.0, 107.0]]",Mini Matte Lipstick - Mehr 1.8 g-Twig.jpg,"[200.0, 106.0, 107.0]",cool
Mini Matte Lipstick  Mehr 1.8 g,"[[204.80133333333333, 100.69366666666667, 84.33316666666667]]",Mini Matte Lipstick - Mehr 1.8 g-Mocha.jpg,"[204.80133333333333, 100.69366666666667, 84.33316666666667]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[107.0, 27.0, 64.0]]",Mini Matte Lipstick - Mehr 1.8 g-Rebel.jpg,"[107.0, 27.0, 64.0]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[255.0, 25.0, 134.0]]",Mini Matte Lipstick - Mehr 1.8 g-Breathing Fire.jpg,"[255.0, 25.0, 134.0]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[236.16666666666669, 124.00333333333333, 133.2703333333333]]",Mini Matte Lipstick - Mehr 1.8 g-Please Me.jpg,"[236.16666666666669, 124.00333333333333, 133.2703333333333]",cool
Mini Matte Lipstick  Mehr 1.8 g,"[[164.875, 60.85366666666668, 83.85366666666668]]",Mini Matte Lipstick - Mehr 1.8 g-Captive.jpg,"[164.875, 60.85366666666668, 83.85366666666668]",warm
New York Sensational Liquid Matte Lipstick  Made Easy 11,"[[186.55466666666666, 97.55466666666666, 89.55466666666666]]",New York Sensational Liquid Matte Lipstick - Made Easy 11-Bday Suit On.jpg,"[186.55466666666666, 97.55466666666666, 89.55466666666666]",cool
New York Sensational Liquid Matte Lipstick  Made Easy 11,"[[140.81333333333333, 51.81333333333334, 55.81333333333334]]",New York Sensational Liquid Matte Lipstick - Made Easy 11-Made Easy.jpg,"[140.81333333333333, 51.81333333333334, 55.81333333333334]",warm
New York Sensational Liquid Matte Lipstick  Made Easy 11,"[[185.0, 62.0, 90.0]]",New York Sensational Liquid Matte Lipstick - Made Easy 11-04 Easy Berry.jpg,"[185.0, 62.0, 90.0]",warm
New York Sensational Liquid Matte Lipstick  Made Easy 11,"[[177.82666666666665, 7.826666666666667, 33.82666666666667]]",New York Sensational Liquid Matte Lipstick - Made Easy 11-Flush It Red.jpg,"[177.82666666666665, 7.826666666666667, 33.82666666666667]",warm
New York Sensational Liquid Matte Lipstick  Made Easy 11,"[[161.95733333333334, 60.95733333333333, 68.95733333333334]]",New York Sensational Liquid Matte Lipstick - Made Easy 11-Sensationally Me.jpg,"[161.95733333333334, 60.95733333333333, 68.95733333333334]",warm
New York Sensational Liquid Matte Lipstick  Made Easy 11,"[[173.08800000000002, 98.08800000000001, 93.08800000000001]]",New York Sensational Liquid Matte Lipstick - Made Easy 11-Truly Mlbb.jpg,"[173.08800000000002, 98.08800000000001, 93.08800000000001]",cool
New York Sensational Liquid Matte Lipstick  Made Easy 11,"[[202.67466666666667, 73.67466666666667, 91.67466666666667]]",New York Sensational Liquid Matte Lipstick - Made Easy 11-05 Keep It Mellow.jpg,"[202.67466666666667, 73.67466666666667, 91.67466666666667]",warm
New York Sensational Liquid Matte Lipstick  Made Easy 11,"[[222.0, 24.0, 41.0]]",New York Sensational Liquid Matte Lipstick - Made Easy 11-01 To The Fullest.jpg,"[222.0, 24.0, 41.0]",warm
New York Sensational Liquid Matte Lipstick  Made Easy 11,"[[190.0, 104.0, 91.0]]",New York Sensational Liquid Matte Lipstick - Made Easy 11-Barely Nude.jpg,"[190.0, 104.0, 91.0]",cool
New York Sensational Liquid Matte Lipstick  Made Easy 11,"[[96.288, 6.287999999999997, 16.287999999999997]]",New York Sensational Liquid Matte Lipstick - Made Easy 11-02 Soft Wine.jpg,"[96.288, 6.287999999999997, 16.287999999999997]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[204.82016666666664, 80.35, 61.209666666666685]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-BRICK BLUSH.jpg,"[204.82016666666664, 80.35, 61.209666666666685]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[210.465, 49.83566666666667, 80.559]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-SCARLET SURGE.jpg,"[210.465, 49.83566666666667, 80.559]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[139.5235, 63.84816666666667, 69.20683333333334]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Dusty Pink.jpg,"[139.5235, 63.84816666666667, 69.20683333333334]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[151.01083333333335, 77.8025, 56.67249999999999]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Rustic Brown.jpg,"[151.01083333333335, 77.8025, 56.67249999999999]",cool
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[108.0, 62.0, 64.0]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Sangria Weekend.jpg,"[108.0, 62.0, 64.0]",cool
