Name,Price,Brand
Tuscan Sunshine Luminous Foundation - Caramel 06 25 ml,Rs. 2151,KIKO MILANO
Tuscan Sunshine Luminous Foundation Hazelnut 07,Rs. 2151,KIKO MILANO
4.5 Absolute Cover Silk Peptide Foundation 30ml,Rs. 2362,OFRA
CHAMBOR Orosa Ochre Natural No.302 Skin Fusion Foundation 25 ml,Rs. 1495,Chambor
Sand Double Wear Stay-in-Place Makeup with SPF 10,Rs. 3700,Estee Lauder
Double Wear Stay-In-Place Makeup Foundation with SPF 10 - Rattan,Rs. 3700,Estee Lauder
Neutral 4 SPF 20 Synchro Skin Lasting Liquid Foundation 30 ml,Rs. 1900,SHISEIDO
Neutral 5 Synchro Skin Lasting Liquid Sustainable Foundation 30 ml,Rs. 1900,SHISEIDO
Weightless Perfection SPF 30 Wet & Dry Powder Foundation WR90,Rs. 1650,KIKO MILANO
Full Coverage 2-in-1 Foundation & Concealer N170 25 ml,Rs. 2070,KIKO MILANO
Nourishing Perfection SPF 20 Cream Compact Foundation N95 7 ml,Rs. 1305,KIKO MILANO
Full Coverage 2-in-1 Foundation & Concealer N40 25ml,Rs. 2300,KIKO MILANO
Weightless Perfection SPF 30 Wet and Dry Powder Foundation WR50,Rs. 1567,KIKO MILANO
Nourishing Perfection SPF 20 Cream Compact Foundation WR70,Rs. 1305,KIKO MILANO
Expresso Pro Matte HD Foundation GLM723,Rs. 937,L.A Girl
Chestnut Pro Matte HD Foundation GLM722,Rs. 937,L.A Girl
Secrets Of Camouflage 02 Dark Stick Foundation 10 g,Rs. 633,Deborah
Dark Honey Detox & Protect SPF 15 Foundation 06,Rs. 1039,Note
Sunny Detox & Protect SPF 15 Foundation 08,Rs. 1039,Note
Dark Honey Mattifying Extreme Wear SPF 15 Foundation 06,Rs. 1104,Note
Sand Detox & Protect SPF 15 Foundation 04,Rs. 1299,Note
Sunny Mattifying Extreme Wear SPF 15 Foundation 08,Rs. 1039,Note
Honey Beige Detox & Protect SPF 15 Foundation 05,Rs. 1039,Note
Synchro Skin Glow SPF 20 Golden 3 Luminizing Liquid Sustainable Foundation 30 ml,Rs. 3800,SHISEIDO
Syncro Skin Glow SPF 20 Golden 5 Luminizing Fluid Foundation 30ml,Rs. 3800,SHISEIDO
Syncro Skin Glow SPF 20 Golden 4 Luminizing Fluid Sustainable Foundation 30ml,Rs. 3800,SHISEIDO
Synchro Skin Glow SPF 20 Golden 2 Luminizing Liquid Foundation 30ml,Rs. 3800,SHISEIDO
Women Neutral 2 Synchro Skin Glow Luminizing Fluid Foundation 30ml,Rs. 3800,SHISEIDO
Apricot SPF 15 Detox & Protect Foundation 07,Rs. 1039,Note
Beige Extra Mat Perfect Foundation 02,Rs. 1495,Deborah
Sand Extra Mat Perfect Foundation 03,Rs. 1495,Deborah
Synchro Skin SPF 20 Golden Lasting Liquid Foundation 4,Rs. 1900,SHISEIDO
Synchro Skin SPF 20 Golden Lasting Liquid Sustainable Foundation 3,Rs. 1900,SHISEIDO
Synchro Skin SPF 20 Neutral Lasting Liquid Foundation 2,Rs. 1900,SHISEIDO
Dark Chocolate Pro Coverage HD Long Wear Illuminating Foundation GLM656,Rs. 937,L.A Girl
