,Name,Image,Shade,Color
1993,Ultra Definition Liquid Foundation Pecan 30 ml,Ultra Definition Liquid Foundation- Pecan 30 ml-Fudge.jpg,Fudge,"[[215.03311258278146, 171.70860927152316, 116.17880794701986]]"
1994,Ultra Definition Liquid Foundation  Fudge,Ultra Definition Liquid Foundation - Fudge-Pecan.jpg,Pecan,"[[212.77272727272728, 172.71212121212122, 131.90909090909088]]"
1995,Ultra Definition Liquid Foundation  Fudge,Ultra Definition Liquid Foundation - Fudge-Brownie.jpg,Brownie,"[[133.94736842105263, 91.26973684210525, 53.33552631578949]]"
1996,Ultra Definition Liquid Foundation  Fudge,Ultra Definition Liquid Foundation - Fudge-Beige.jpg,Beige,"[[188.5, 153.51477832512316, 115.45073891625614]]"
1997,Ultra Definition Liquid Foundation  Fudge,Ultra Definition Liquid Foundation - Fudge-Beige Caramel.jpg,Beige Caramel,"[[176.4916512059369, 133.734693877551, 88.9220779220779]]"
1998,Ultra Definition Liquid Foundation  Fudge,Ultra Definition Liquid Foundation - Fudge-Milk Cake.jpg,Milk Cake,"[[190.2739212007505, 159.13320825515945, 136.77861163227016]]"
1999,Ultra Definition Liquid Foundation  Fudge,Ultra Definition Liquid Foundation - Fudge-Pralines Cake.jpg,Pralines Cake,"[[191.27945205479455, 157.88310502283105, 120.2922374429224]]"
2000,Ultra Definition Liquid Foundation  Fudge,Ultra Definition Liquid Foundation - Fudge-Cheese Cake.jpg,Cheese Cake,"[[186.87281553398054, 168.46213592233005, 144.5320388349515]]"
2001,Ultra Definition Liquid Foundation  Fudge,Ultra Definition Liquid Foundation - Fudge-Peanut Butter.jpg,Peanut Butter,"[[207.47099236641222, 157.61603053435115, 96.02595419847324]]"
2002,Ultra Definition Liquid Foundation  Fudge,Ultra Definition Liquid Foundation - Fudge-Chocolate Mousse.jpg,Chocolate Mousse,"[[230.95652173913044, 185.3478260869565, 156.2608695652174]]"
2003,Ultra Definition Liquid Foundation  Fudge,Ultra Definition Liquid Foundation - Fudge-Honey.jpg,Honey,"[[226.17142857142855, 194.90857142857143, 158.22857142857143]]"
2004,Ultra Definition Liquid Foundation  Fudge,Ultra Definition Liquid Foundation - Fudge-Fudge.jpg,Fudge,"[[215.03311258278146, 171.70860927152316, 116.17880794701986]]"
2005,Beige Ultra Definition Liquid Foundation Peanut Butter 30 ml,Beige Ultra Definition Liquid Foundation- Peanut Butter 30 ml-Pecan.jpg,Pecan,"[[212.77272727272728, 172.71212121212122, 131.90909090909088]]"
2006,Beige Ultra Definition Liquid Foundation Peanut Butter 30 ml,Beige Ultra Definition Liquid Foundation- Peanut Butter 30 ml-Brownie.jpg,Brownie,"[[133.94736842105263, 91.26973684210525, 53.33552631578949]]"
2007,Beige Ultra Definition Liquid Foundation Peanut Butter 30 ml,Beige Ultra Definition Liquid Foundation- Peanut Butter 30 ml-Beige.jpg,Beige,"[[188.5, 153.51477832512316, 115.45073891625613]]"
2008,Beige Ultra Definition Liquid Foundation Peanut Butter 30 ml,Beige Ultra Definition Liquid Foundation- Peanut Butter 30 ml-Beige Caramel.jpg,Beige Caramel,"[[176.4916512059369, 133.734693877551, 88.9220779220779]]"
2009,Beige Ultra Definition Liquid Foundation Peanut Butter 30 ml,Beige Ultra Definition Liquid Foundation- Peanut Butter 30 ml-Milk Cake.jpg,Milk Cake,"[[190.2739212007505, 159.13320825515945, 136.77861163227016]]"
2010,Beige Ultra Definition Liquid Foundation Peanut Butter 30 ml,Beige Ultra Definition Liquid Foundation- Peanut Butter 30 ml-Pralines Cake.jpg,Pralines Cake,"[[191.27945205479455, 157.88310502283105, 120.2922374429224]]"
2011,Beige Ultra Definition Liquid Foundation Peanut Butter 30 ml,Beige Ultra Definition Liquid Foundation- Peanut Butter 30 ml-Cheese Cake.jpg,Cheese Cake,"[[186.87281553398054, 168.46213592233005, 144.5320388349515]]"
2012,Beige Ultra Definition Liquid Foundation Peanut Butter 30 ml,Beige Ultra Definition Liquid Foundation- Peanut Butter 30 ml-Peanut Butter.jpg,Peanut Butter,"[[207.47099236641222, 157.61603053435115, 96.02595419847324]]"
2013,Beige Ultra Definition Liquid Foundation Peanut Butter 30 ml,Beige Ultra Definition Liquid Foundation- Peanut Butter 30 ml-Chocolate Mousse.jpg,Chocolate Mousse,"[[230.95652173913044, 185.3478260869565, 156.2608695652174]]"
2014,Beige Ultra Definition Liquid Foundation Peanut Butter 30 ml,Beige Ultra Definition Liquid Foundation- Peanut Butter 30 ml-Honey.jpg,Honey,"[[226.17142857142855, 194.90857142857143, 158.22857142857143]]"
2015,Beige Ultra Definition Liquid Foundation Peanut Butter 30 ml,Beige Ultra Definition Liquid Foundation- Peanut Butter 30 ml-Fudge.jpg,Fudge,"[[215.03311258278148, 171.70860927152316, 116.17880794701986]]"
